name,latitude,longitude,rating,number_of_reviews,affluence
ইমরুল হোটেলে,23.747075199999998,91.14626240000001,0.0,,
হাজী বিরিয়ানি কসবা,23.747074800000004,91.1462626,3.5,4.0,
বিসমিল্লাহ বট নুডলস এন্ড হালিম,23.7471599,91.1467275,1.0,1.0,
মুন্সী ভাই ভাই ষ্টোর,23.7636936,91.1223042,1.0,1.0,
Ekbal hasun Dipu,23.747305899999997,91.1257082,0.0,,
Shainik Hotel & Restaurant,23.7464688,91.1471422,4.0,48.0,$
Hotel Jhumur হোটেল ঝুমুর,23.747639000000003,91.1463325,0.0,,
Doriyar Hut,23.745852,91.14699370000001,0.0,,
Beauty Community Centre,23.748729100000002,91.1411344,4.3,12.0,
Mim Hotel & Restaurant,23.7489758,91.14328459999999,4.3,9.0,
Shawarma Club,23.7474174,91.1464958,4.5,2.0,
ক্যাফে রিভারভিউ,23.885966800000002,90.970932,4.5,13.0,
Cafe River View,23.8859574,90.9709291,4.1,17.0,
নীলাচল ভোজনালয়,23.887026199999998,90.97103929999999,5.0,2.0,
মীম হোটেল এন্ড সুইটস্,23.887026199999998,90.97103929999999,4.5,17.0,
বিসমিল্লাহ হোটেল,23.8790603,90.9712433,4.0,1.0,
জল্লা ফুড প্যালেস এন্ড ফ্রেন্ডস পার্ক,23.888126,90.9605694,5.0,1.0,
RashikBariCafe,23.888126,90.9605694,0.0,,
Ma Babar Dowa Hotel & Restaurant,23.8795055,90.9710696,3.0,1.0,
"সৈনিক রেষ্টুরেন্ট, কমিউনিটি সেন্টার এন্ড ফাস্টফুড",23.887102,90.9702371,4.1,9.0,
Bhai Bhai Hotel ভাই ভাই হোটেল,23.8866387,90.97080240000001,3.0,2.0,
আজিজুল অন্তরা ফাস্টফুড এন্ড কফি হাউজ (GK),23.8990611,90.96832540000001,5.0,1.0,
হাউস,23.888126,90.9605694,0.0,,
FOOD LEADER RESTAURANT,23.888126,90.9605694,4.5,2.0,
M/S Awlad Miste Bitan,23.885981899999997,90.9707027,4.0,29.0,
সূর্য ঘোষের দই চিরার দোকান,23.8857967,90.9712205,0.0,,
সুফি গাউছিয়া হোটেল,23.886039999999998,90.9708926,3.7,3.0,
দই চিড়া,23.8860633,90.9708942,5.0,3.0,
হোটেল নিরিবিলি,23.8865383,90.9699659,5.0,1.0,
স্বপ্নছায়া রেষ্টুরেন্ট এন্ড পার্টি সেন্টার,23.873376,90.9819963,5.0,2.0,
